STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDFG,WESD,WESF,WSFG
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-03,,,0.05,,15.0,18,26,11,20,,,82.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-04,,,0.24,,15.4,20,32,8,33,,,91.7
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-05,,,0.01,,16.9,8,16,0,33,,,107.4
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-06,,,0.01,,16.5,14,22,6,29,,,73.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-07,,,0.24,,16.5,12,17,6,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-08,,,0.01,,17.3,10,17,2,27,,,87.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-09,,,0.08,,17.3,15,20,11,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-10,,,0.16,,18.5,18,21,16,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-11,,,0.06,,20.1,20,25,15,30,,,87.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-12,,,0.01,,19.7,14,24,4,33,,,91.7
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-13,,,0.01,,19.3,11,25,-3,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-14,,,0.00,,19.3,33,41,24,21,,,71.6
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-15,,,0.02,,3.1,39,45,33,33,,,71.6
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-16,,,0.00,,1.6,24,34,14,31,,,132.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-17,,,0.00,,1.6,21,28,14,22,,,73.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-18,,,0.00,,1.6,30,36,25,16,,,73.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-19,,,0.26,,1.2,33,39,28,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-20,,,0.58,,0.0,47,57,36,20,,,71.6
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-21,,,0.26,,,41,56,25,31,,,107.4
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-22,,,0.00,,0.0,29,34,23,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-23,,,0.05,,0.0,32,41,24,32,,,98.4
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-24,,,0.00,,0.0,34,37,30,32,,,91.7
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-25,,,0.09,,0.0,41,50,31,15,,,125.3
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-26,,,0.00,,0.0,35,42,28,29,,,87.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-27,,,0.00,,,43,53,33,24,,,102.9
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-02-28,,,0.00,,0.0,45,57,33,29,,,78.3
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-01,,,0.00,,0.0,33,38,27,4,,,87.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-02,,,0.00,,0.0,30,33,27,34,,,111.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-03,,,0.00,,,29,36,23,33,,,96.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-04,,,0.00,,0.0,25,31,20,32,,,91.7
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-05,,,0.04,,0.0,24,31,16,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-06,,,0.00,,,29,32,26,12,,,96.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-07,,,,,0.0,,,30,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-08,,,0.00,,0.0,27,29,25,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-09,,,0.06,,0.0,29,33,24,30,,,98.4
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-10,,,0.02,,0.0,26,31,20,29,,,87.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-11,,,0.00,,0.0,24,32,16,33,,,71.6
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-12,,,0.01,,0.0,23,30,16,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-13,,,0.07,,0.0,27,31,23,31,,,71.6
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-14,,,0.07,,1.2,25,29,21,32,,,125.3
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-15,,,0.03,,0.8,27,36,19,30,,,96.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-16,,,0.02,,0.4,19,25,13,18,,,116.3
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-17,,,0.00,,0.4,25,33,17,30,,,102.9
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-18,,,0.00,,0.0,28,42,15,31,,,71.6
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-19,,,0.00,,0.0,21,30,13,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-20,,,0.00,,0.0,25,36,13,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-21,,,0.02,,0.0,29,39,18,35,,,73.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-22,,,0.00,,0.0,28,36,20,31,,,82.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-23,,,0.00,,0.0,28,36,19,32,,,87.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-24,,,,,0.0,,,18,32,,,78.3
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-25,,,0.03,,0.0,25,41,9,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-26,,,0.00,,0.0,36,45,26,16,,,91.7
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-27,,,,,0.0,36,37,34,15,,,87.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-28,,,0.03,,0.0,37,45,29,33,,,71.6
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-29,,,,,,,41,,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-30,,,,,0.0,,,31,30,,,91.7
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-03-31,,,0.22,,0.0,36,45,26,28,,,136.5
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-01,,,0.01,,0.0,28,33,23,32,,,140.9
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-02,,,0.01,,0.0,32,42,23,30,,,73.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-03,,,0.59,,0.0,34,39,29,7,,,82.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-04,,,0.17,,0.0,28,38,19,28,,,174.5
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-05,,,0.01,,0.4,21,31,12,29,,,78.3
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-06,,,0.05,,,29,35,23,29,,,116.3
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-07,,,0.01,,,26,31,20,29,,,127.5
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-08,,,0.00,,,24,30,18,32,,,91.7
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-09,,,0.00,,,27,37,18,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-10,,,0.00,,,32,39,24,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-11,,,0.02,,,33,40,26,23,,,73.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-12,,,0.11,,,36,48,24,29,,,98.4
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-13,,,0.81,,,37,42,32,32,,,71.6
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-14,,,1.28,,,28,35,20,5,,,107.4
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-15,,,0.67,,1.2,27,33,22,9,,,132.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-16,,,0.94,,1.2,33,35,30,12,,,82.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-17,,,0.03,,1.6,29,31,27,27,,,91.7
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-18,,,0.00,,1.6,33,37,29,29,,,73.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-19,,,0.00,,1.2,31,34,27,32,,,107.4
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-20,,,0.01,,1.2,32,38,26,31,,,78.3
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-21,,,0.01,,0.0,38,52,24,29,,,71.6
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-22,,,0.04,,,43,58,27,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-23,,,0.02,,,47,64,30,12,,,73.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-24,,,0.07,,,50,59,41,19,,,71.6
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-25,,,0.63,,,43,51,35,30,,,82.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-26,,,0.04,,,42,54,31,32,,,96.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-27,,,0.05,,,44,58,30,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-28,,,0.04,,,36,42,31,30,,,82.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-29,,,0.02,,0.0,37,45,29,31,,,98.4
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-04-30,,,0.00,,,46,61,30,32,,,91.7
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-01,,,0.00,,,58,78,38,24,,,82.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-02,,,0.02,,,67,77,56,26,,,96.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-03,,,0.17,,,57,69,45,27,,,82.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-04,,,0.09,,,58,73,43,26,,,190.1
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-05,,,0.00,,,59,74,44,18,,,91.7
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-06,,,0.00,,,56,67,45,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-07,,,0.00,,,53,63,43,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-08,,,0.02,,,56,69,44,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-09,,,0.01,,,63,75,50,18,,,78.3
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-10,,,0.13,,,52,64,39,29,,,116.3
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-11,,,0.00,,,43,52,34,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-12,,,0.01,,,48,63,34,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-13,,,0.00,,,52,67,38,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-14,,,0.00,,,58,73,43,19,,,71.6
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-15,,,0.61,,,54,65,42,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-16,,,0.01,,,55,71,40,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-17,,,0.00,,,61,72,49,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-18,,,0.01,,,55,66,44,8,,,87.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-19,,,0.32,,,56,61,52,13,,,78.3
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-20,,,0.00,,,51,63,40,31,,,78.3
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-21,,,0.03,,,54,72,36,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-22,,,0.11,,,56,63,50,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-23,,,0.00,,,61,73,48,33,,,82.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-24,,,0.03,,,64,81,47,30,,,73.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-25,,,0.00,,,75,84,65,24,,,73.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-26,,,0.15,,,72,82,62,34,,,96.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-27,,,0.00,,,71,79,62,,,,
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-28,,,0.03,,,72,83,61,31,,,73.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-29,,,0.00,,,70,82,58,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-30,,,0.02,,,73,86,61,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-05-31,,,0.44,,,75,83,67,23,,,96.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-01,,,0.03,,,67,77,56,33,,,73.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-02,,,0.01,,,62,73,51,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-03,,,0.70,,,59,67,50,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-04,,,,,,57,62,53,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-05,,,0.00,,,50,53,47,31,,,87.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-06,,,0.00,,,53,58,47,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-07,,,,,,,,49,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-08,,,0.00,,,60,73,47,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-09,,,0.01,,,60,75,46,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-10,,,0.00,,,61,73,49,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-11,,,0.00,,,60,72,47,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-12,,,0.02,,,62,78,46,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-13,,,0.00,,,70,82,58,29,,,132.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-14,,,0.00,,,59,70,48,33,,,120.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-15,,,0.00,,,61,76,47,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-16,,,0.00,,,67,84,51,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-17,,,0.01,,,73,88,58,17,,,71.6
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-18,,,0.65,,,73,85,61,27,,,96.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-19,,,0.00,,,61,71,52,2,,,71.6
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-20,,,0.00,,,62,77,48,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-21,,,0.00,,,61,73,49,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-22,,,0.08,,,62,75,49,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-23,,,0.07,,,62,64,59,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-24,,,0.14,,,63,69,57,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-25,,,0.00,,,58,71,46,33,,,71.6
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-26,,,0.00,,,58,72,43,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-27,,,0.11,,,64,69,59,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-28,,,0.00,,,72,81,63,30,,,71.6
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-29,,,0.00,,,75,87,63,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-06-30,,,0.00,,,81,94,68,31,,,71.6
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-07-01,,,0.00,,,82,92,73,18,,,71.6
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-07-02,,,0.00,,,74,90,58,27,,,78.3
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-07-03,,,0.00,,,72,87,58,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-07-04,,,0.00,,,74,90,58,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-07-05,,,1.15,,,78,91,64,28,,,127.5
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-07-06,,,0.00,,,62,71,51,35,,,91.7
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-07-07,,,0.00,,,63,79,48,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-07-08,,,0.00,,,68,81,54,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-07-09,,,0.00,,,73,87,58,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-07-10,,,0.00,,,69,80,56,36,,,73.8
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-07-11,,,0.00,,,65,78,52,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-07-12,,,0.00,,,67,82,52,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-07-13,,,0.00,,,73,83,64,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-07-14,,,0.02,,,72,79,65,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-07-15,,,0.00,,,73,85,61,0,,,0.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-07-16,,,1.05,,,74,82,66,28,,,94.0
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-07-17,,,0.00,,,67,76,60,33,,,87.2
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-07-18,,,0.00,,,62,73,50,,,,
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-07-19,,,0.00,,,63,78,48,,,,
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-07-20,,,0.00,,,70,82,58,15,,,76.1
CA006159123,"UXBRIDGE WEST, ON CA",44.1,-79.1667,325.0,2018-07-21,,,0.00,,,69,76,61,13,,,82.8
